Ref,Val,Package,PosX,PosY,Rot,Side
"C15","100nF","C_0603_1608Metric",199.700000,-102.000000,0.000000,bottom
"D1","D_Small","D_SOD-123",101.424345,-70.494986,78.000000,bottom
"D2","D_Small","D_SOD-123",97.837868,-87.368033,78.000000,bottom
"D3","D_Small","D_SOD-123",94.251392,-104.241079,78.000000,bottom
"D4","D_Small","D_SOD-123",118.713214,-72.125168,78.000000,bottom
"D5","D_Small","D_SOD-123",115.126738,-88.998214,78.000000,bottom
"D6","D_Small","D_SOD-123",111.540261,-105.871260,78.000000,bottom
"D7","D_Small","D_SOD-123",136.106040,-73.266276,78.000000,bottom
"D8","D_Small","D_SOD-123",132.519563,-90.139322,78.000000,bottom
"D9","D_Small","D_SOD-123",128.933086,-107.012368,78.000000,bottom
"D10","D_Small","D_SOD-123",153.498865,-74.407383,78.000000,bottom
"D11","D_Small","D_SOD-123",149.912388,-91.280429,78.000000,bottom
"D12","D_Small","D_SOD-123",146.325912,-108.153475,78.000000,bottom
"D13","D_Small","D_SOD-123",142.739435,-125.026522,78.000000,bottom
"D14","D_Small","D_SOD-123",169.852132,-80.439229,78.000000,bottom
"D15","D_Small","D_SOD-123",166.265655,-97.312275,78.000000,bottom
"D16","D_Small","D_SOD-123",162.679179,-114.185321,78.000000,bottom
"D17","D_Small","D_SOD-123",159.092702,-131.058367,78.000000,bottom
"D18","D_Small","D_SOD-123",187.141001,-82.069410,78.000000,bottom
"D19","D_Small","D_SOD-123",183.554525,-98.942456,78.000000,bottom
"D20","D_Small","D_SOD-123",179.968048,-115.815503,78.000000,bottom
"D21","D_Small","D_SOD-123",181.190260,-141.090191,63.000000,bottom
"D22","D_Small","D_SOD-123",225.282001,-79.429410,102.000000,bottom
"D23","D_Small","D_SOD-123",228.868478,-96.302456,102.000000,bottom
"D24","D_Small","D_SOD-123",232.454955,-113.175503,102.000000,bottom
"D25","D_Small","D_SOD-123",230.124743,-135.325191,117.000000,bottom
"D26","D_Small","D_SOD-123",242.570871,-77.799229,102.000000,bottom
"D27","D_Small","D_SOD-123",246.157348,-94.672275,102.000000,bottom
"D28","D_Small","D_SOD-123",249.743824,-111.545321,102.000000,bottom
"D29","D_Small","D_SOD-123",253.330301,-128.418367,102.000000,bottom
"D30","D_Small","D_SOD-123",258.924138,-71.767383,102.000000,bottom
"D31","D_Small","D_SOD-123",262.510615,-88.640429,102.000000,bottom
"D32","D_Small","D_SOD-123",266.097091,-105.513475,102.000000,bottom
"D33","D_Small","D_SOD-123",269.683568,-122.386522,102.000000,bottom
"D34","D_Small","D_SOD-123",276.316963,-70.626276,102.000000,bottom
"D35","D_Small","D_SOD-123",279.903440,-87.499322,102.000000,bottom
"D36","D_Small","D_SOD-123",283.489917,-104.372368,102.000000,bottom
"D37","D_Small","D_SOD-123",293.709789,-69.485168,102.000000,bottom
"D38","D_Small","D_SOD-123",297.296265,-86.358214,102.000000,bottom
"D39","D_Small","D_SOD-123",300.882742,-103.231260,102.000000,bottom
"D40","D_Small","D_SOD-123",310.998658,-67.854986,102.000000,bottom
"D41","D_Small","D_SOD-123",314.585135,-84.728033,102.000000,bottom
"D42","D_Small","D_SOD-123",318.171611,-101.601079,102.000000,bottom
"J2","Conn_01x04","PinSocket_1x04_P2.54mm_Horizontal",203.849987,-138.750000,90.000000,bottom
"L1","10u","L_0805_2012Metric",200.000000,-103.750000,180.000000,bottom
"Q2","BC858","SOT-23",98.500000,-69.250000,-12.000000,bottom
"R5","10.2k","R_0603_1608Metric",94.750000,-74.750000,168.000000,bottom
"R7","1.91k","R_0603_1608Metric",95.250000,-72.500000,168.000000,bottom
"R8","10.2k","R_0603_1608Metric",98.500000,-73.000000,-102.000000,bottom
