Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10n","C_0603_1608Metric",198.000000,-81.595000,-90.000000,top
"C2","100n","C_0603_1608Metric",202.000000,-81.595000,90.000000,top
"C3","10u","C_0805_2012Metric",200.000000,-84.500000,180.000000,top
"C4","1u","C_0603_1608Metric",197.000000,-85.000000,90.000000,top
"C5","100nF","C_0603_1608Metric",197.000000,-88.500000,-90.000000,top
"C6","33p","C_0805_2012Metric",195.750000,-111.750000,90.000000,top
"C7","15p","C_0805_2012Metric",196.500000,-115.750000,-90.000000,top
"C8","33p","C_0805_2012Metric",204.250000,-111.750000,-90.000000,top
"C9","15p","C_0805_2012Metric",203.500000,-115.750000,-90.000000,top
"C10","10n","C_0603_1608Metric",191.100000,-97.600000,-135.000000,top
"C11","100nF","C_0603_1608Metric",191.100000,-102.400000,135.000000,top
"C12","100nF","C_0603_1608Metric",203.900000,-107.700000,45.000000,top
"C13","1u","C_0603_1608Metric",200.000000,-90.750000,180.000000,top
"C14","4.7u","C_0603_1608Metric",208.500000,-103.000000,45.000000,top
"C16","1u","C_0603_1608Metric",203.000000,-88.500000,90.000000,top
"C17","0.1u","C_0603_1608Metric",194.500000,-121.500000,90.000000,top
"FB1","FerriteBead_Small","L_0603_1608Metric",200.000000,-81.250000,-90.000000,top
"J1","USB_C_Receptacle_USB2.0","TYPE-C-31-M-12",200.000000,-62.500000,180.000000,top
"R1","10.2k","R_0603_1608Metric",204.250000,-70.500000,-90.000000,top
"R2","10.2k","R_0603_1608Metric",206.250000,-70.500000,-90.000000,top
"R3","10.2k","R_0603_1608Metric",195.750000,-70.500000,-90.000000,top
"R4","10.2k","R_0603_1608Metric",193.750000,-70.500000,-90.000000,top
"SW1","SW_Push","SW_PG1350",96.283345,-64.137986,-12.000000,top
"SW2","SW_Push","SW_PG1350",92.696868,-81.011033,-12.000000,top
"SW3","SW_Push","SW_PG1350",89.110392,-97.884079,-12.000000,top
"SW4","SW_Push","SW_PG1350",113.572214,-65.768168,-12.000000,top
"SW5","SW_Push","SW_PG1350",109.985738,-82.641214,-12.000000,top
"SW6","SW_Push","SW_PG1350",106.399261,-99.514260,-12.000000,top
"SW7","SW_Push","SW_PG1350",130.965040,-66.909276,-12.000000,top
"SW8","SW_Push","SW_PG1350",127.378563,-83.782322,-12.000000,top
"SW9","SW_Push","SW_PG1350",123.792086,-100.655368,-12.000000,top
"SW10","SW_Push","SW_PG1350",148.357865,-68.050383,-12.000000,top
"SW11","SW_Push","SW_PG1350",144.771388,-84.923429,-12.000000,top
"SW12","SW_Push","SW_PG1350",141.184912,-101.796475,-12.000000,top
"SW13","SW_Push","SW_PG1350",137.598435,-118.669522,-12.000000,top
"SW14","SW_Push","SW_PG1350",164.711132,-74.082229,-12.000000,top
"SW15","SW_Push","SW_PG1350",161.124655,-90.955275,-12.000000,top
"SW16","SW_Push","SW_PG1350",157.538179,-107.828321,-12.000000,top
"SW17","SW_Push","SW_PG1350",153.951702,-124.701367,-12.000000,top
"SW18","SW_Push","SW_PG1350",182.000001,-75.712410,-12.000000,top
"SW19","SW_Push","SW_PG1350",178.413525,-92.585456,-12.000000,top
"SW20","SW_Push","SW_PG1350",174.827048,-109.458503,-12.000000,top
"SW21","SW_Push","SW_PG1350",177.870260,-133.619191,-27.000000,top
"SW22","SW_Push","SW_PG1350",218.000001,-75.712410,12.000000,top
"SW23","SW_Push","SW_PG1350",221.586478,-92.585456,12.000000,top
"SW24","SW_Push","SW_PG1350",225.172955,-109.458503,12.000000,top
"SW25","SW_Push","SW_PG1350",222.129743,-133.619191,27.000000,top
"SW26","SW_Push","SW_PG1350",235.288871,-74.082229,12.000000,top
"SW27","SW_Push","SW_PG1350",238.875348,-90.955275,12.000000,top
"SW28","SW_Push","SW_PG1350",242.461824,-107.828321,12.000000,top
"SW29","SW_Push","SW_PG1350",246.048301,-124.701367,12.000000,top
"SW30","SW_Push","SW_PG1350",251.642138,-68.050383,12.000000,top
"SW31","SW_Push","SW_PG1350",255.228615,-84.923429,12.000000,top
"SW32","SW_Push","SW_PG1350",258.815091,-101.796475,12.000000,top
"SW33","SW_Push","SW_PG1350",262.401568,-118.669522,12.000000,top
"SW34","SW_Push","SW_PG1350",269.034963,-66.909276,12.000000,top
"SW35","SW_Push","SW_PG1350",272.621440,-83.782322,12.000000,top
"SW36","SW_Push","SW_PG1350",276.207917,-100.655368,12.000000,top
"SW37","SW_Push","SW_PG1350",286.427789,-65.768168,12.000000,top
"SW38","SW_Push","SW_PG1350",290.014265,-82.641214,12.000000,top
"SW39","SW_Push","SW_PG1350",293.600742,-99.514260,12.000000,top
"SW40","SW_Push","SW_PG1350",303.716658,-64.137986,12.000000,top
"SW41","SW_Push","SW_PG1350",307.303135,-81.011033,12.000000,top
"SW42","SW_Push","SW_PG1350",310.889611,-97.884079,12.000000,top
"SW43","TS-1187A-B-A-B","SW_Push_1P1T_NO_CK_KSC6xxJ",199.999987,-121.750000,0.000000,top
"U1","LP3993-33B3F","SOT-23",200.000000,-87.750000,90.000000,top
"U2","USBLC6-2SC6","SOT-23-6",200.000002,-71.000000,-90.000000,top
"U3","STM32F411RETx","LQFP-64_10x10mm_P0.5mm",200.000000,-100.000000,45.000000,top
"Y1","12MHz","Crystal_SMD_5032-4Pin_5.0x3.2mm",200.000000,-111.750000,0.000000,top
"Y2","32.768k","Crystal_SMD_3215-2Pin_3.2x1.5mm",200.000000,-115.750000,180.000000,top
